,geneSymbol,Pax6_KO_3,Pax6_KO_4,Pax6_KO_5,Pax6_KO_6,Pax6_WT_3,Pax6_WT_4,Pax6_WT_5,Pax6_WT_6,Tbr2_KO_3,Tbr2_KO_4,Tbr2_KO_5,Tbr2_KO_6,Tbr2_WT_3,Tbr2_WT_4,Tbr2_WT_5,Tbr2_WT_6,neg_KO_3,neg_KO_4,neg_KO_5,neg_KO_6,neg_WT_3,neg_WT_4,neg_WT_5,neg_WT_6
ENSMUSG00000000001,Gnai3,35.6411312866446,33.9415665651787,40.2066213631518,55.816698725335,39.2044621161971,39.2873841969131,40.6576794213097,49.4667557123733,19.8266918610769,17.5861701482554,20.0036725933744,23.0628045487965,19.9307880276945,23.8962942679578,24.2953490751967,23.9911808366265,16.6570514890301,18.8561879561882,16.232216131896,21.9639379746825,19.2394732424621,24.7197779508513,13.6296341081002,20.0586612221511
ENSMUSG00000000003,Pbsn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ENSMUSG00000000028,Cdc45,20.5687563904737,14.6152678176067,19.987005407208,18.9716733307234,25.4662154275174,18.3896257233993,21.788364501556,24.1131409449044,4.11982347578123,1.17626069420127,1.72083402945178,1.99608917200656,4.46884842194236,3.83555540778793,4.7202512018312,2.31091910501471,1.34268131500733,3.05173229571658,0.944084773141646,1.30744724336506,1.26070378988129,1.55891621755516,1.64519932136704,1.78866840695277
ENSMUSG00000000031,H19,1.32769485521873,0.710624490779393,1.53590498977189,0.792699413011422,4.0221136197274,2.42082599738572,4.66780195571239,2.28388735878683,0.189873820532821,0.348985439942724,0.35324900727637,0.0357567279849722,0.976212198367269,0.266452230648369,0.177483273613341,0.248378400099897,0.733949717749168,0.434601673479367,0.810959192025711,0.564228727590472,0.944940401663927,0.740025152178379,0.439303591977593,0.603485198722277
ENSMUSG00000000037,Scml2,2.93567841979711,2.46635629448883,3.09317991455634,3.45393873755078,2.13369450960333,2.63341923488961,2.9613422432015,2.63105312224463,0.370439794623993,0.285962538812748,0.396279257299096,0.572037063660885,0.571370784963109,0.398546029918639,0.242386270363211,0.161526995952447,0.889297885728786,0.998636178887831,0.782754907436251,1.01273441231866,0.934069726867135,0.721886684062805,0.933256162167968,0.966552432991468
ENSMUSG00000000049,Apoh,0,0,0,0,0,0,0,0,0,0,0.131415722280356,0.0532088825472736,0,0,0,0,0,0,0,0,0.0937431464971491,0,0,0
ENSMUSG00000000056,Narf,9.80194807334405,8.0852154757472,8.85201510301297,8.49852795112902,7.65049201736531,10.4997401422571,11.8504428829208,9.58130189926344,11.6015669881849,11.1440360156692,13.0977396431801,10.6062817784005,12.3602607968374,15.013764509713,11.8693693381127,13.1985435918253,13.1550564431052,16.0396492594634,12.3445122242176,15.4275114478133,14.177802421037,13.9019175708616,12.1899992788286,12.9633998548207
ENSMUSG00000000058,Cav2,0.786929584352528,1.09065971715107,1.51526977159911,1.84802094706184,1.96070840040293,1.64353529483137,1.07480327624549,1.08293469566064,0.108037349877985,0.148928359258316,0.0942173888972506,0.0254317717482321,0,0.126341767335918,0.0315584951282493,0.0588859135469222,0.16484766642478,0.137381331933108,0,0.160521804119292,0.179222279480007,0.164480852789272,0.138867648865014,0.0998198731821931
ENSMUSG00000000078,Klf6,31.397081518734,25.2241672086958,27.924246475559,32.8961588566989,19.2937740260769,18.7952929741193,21.3256681567658,23.9495984404292,6.98479912987238,9.14753981530875,7.57533574828558,12.1078029845324,7.03276651645852,11.1407403458097,7.53729417555581,8.07984693177709,15.1880132124386,21.6751873437004,17.1177237507931,18.1958970197827,16.5832670954947,19.1736621136585,17.7089594369404,14.0556595401941
ENSMUSG00000000085,Scmh1,18.9421921020457,16.4671136314136,19.5793167300134,17.268153349383,18.9822106094171,19.2777353321997,17.9174505606538,18.2191050564095,16.3817169173254,11.2856591718474,14.441994629522,12.6822005368115,13.247921130246,16.9090381074577,11.8303127808312,11.5580076786882,14.8861145865877,16.0011667752124,16.0551690015767,14.9340370038107,15.8104952493158,13.9211308967852,14.0925920332395,13.938623203359
